Date,Value
2020-01-01,23.42748260498047
2020-01-02,23.55310821533203
2020-01-03,23.4267578125
2020-01-06,23.39665985107422
2020-01-07,23.471622467041016
2020-01-08,23.464948654174805
2020-01-09,23.66718864440918
2020-01-10,23.844696044921875
2020-01-13,23.60467529296875
2020-01-14,23.701452255249023
2020-01-15,23.764598846435547
2020-01-16,23.735332489013672
2020-01-17,23.840702056884766
2020-01-20,24.02120018005371
2020-01-21,24.101900100708008
2020-01-22,24.011201858520508
2020-01-23,24.12481689453125
2020-01-24,24.212846755981445
2020-01-27,24.152788162231445
2020-01-28,24.33220672607422
2020-01-29,24.47378158569336
2020-01-30,24.600025177001953
2020-01-31,24.574222564697266
2020-02-03,24.777036666870117
2020-02-04,24.755083084106445
2020-02-05,24.54688262939453
2020-02-06,24.400415420532227
2020-02-07,24.293527603149414
2020-02-10,24.29937171936035
2020-02-11,24.22811508178711
2020-02-12,24.157873153686523
2020-02-13,24.240922927856445
2020-02-14,24.18997573852539
2020-02-17,24.19449806213379
2020-02-18,24.162445068359375
2020-02-19,24.176433563232422
2020-02-20,24.2435245513916
2020-02-21,24.200193405151367
2020-02-24,24.195030212402344
2020-02-25,24.22037124633789
2020-02-26,24.26081085205078
2020-02-27,24.317264556884766
2020-02-28,24.254371643066406
2020-03-02,24.328310012817383
2020-03-03,24.5894718170166
2020-03-04,24.695270538330078
2020-03-05,24.629724502563477
2020-03-06,24.436710357666016
2020-03-09,24.721542358398438
2020-03-10,24.7703914642334
2020-03-11,25.152690887451172
2020-03-12,25.58932113647461
2020-03-13,25.589618682861328
2020-03-16,25.866762161254883
2020-03-17,26.3465518951416
2020-03-18,26.842557907104492
2020-03-19,27.033931732177734
2020-03-20,27.546106338500977
2020-03-23,27.088396072387695
2020-03-24,27.556053161621094
2020-03-25,27.55390167236328
2020-03-26,27.67787742614746
2020-03-27,27.995960235595703
2020-03-30,27.42633628845215
2020-03-31,27.795665740966797
2020-04-01,27.52102279663086
2020-04-02,27.425777435302734
2020-04-03,27.39943504333496
2020-04-06,27.14528465270996
2020-04-07,26.94633674621582
2020-04-08,26.820526123046875
2020-04-09,27.003541946411133
2020-04-10,27.023042678833008
2020-04-13,26.87127113342285
2020-04-14,26.79755210876465
2020-04-15,26.903440475463867
2020-04-16,26.9355411529541
2020-04-17,26.944520950317383
2020-04-20,26.690942764282227
2020-04-21,26.80569076538086
2020-04-22,26.799583435058594
2020-04-23,26.746458053588867
2020-04-24,26.76892852783203
2020-04-27,26.861970901489258
2020-04-28,26.827211380004883
2020-04-29,26.780664443969727
2020-04-30,26.708065032958984
2020-05-01,26.668598175048828
2020-05-04,26.492944717407227
2020-05-05,26.687854766845703
2020-05-06,26.693939208984375
2020-05-07,26.611963272094727
2020-05-08,26.526981353759766
2020-05-11,26.561588287353516
2020-05-12,26.57135772705078
2020-05-13,26.49272346496582
2020-05-14,26.405332565307617
2020-05-15,26.413705825805664
2020-05-18,26.348791122436523
2020-05-19,26.295392990112305
2020-05-20,26.273462295532227
2020-05-21,26.344528198242188
2020-05-22,26.464706420898438
2020-05-25,26.490188598632812
2020-05-26,26.601396560668945
2020-05-27,26.66167640686035
2020-05-28,26.684057235717773
2020-05-29,26.625045776367188
2020-06-01,26.573333740234375
2020-06-02,26.524124145507812
2020-06-03,26.533649444580078
2020-06-04,26.473005294799805
2020-06-05,26.420841217041016
2020-06-08,26.326242446899414
2020-06-09,26.309234619140625
2020-06-10,26.37958526611328
2020-06-11,26.353845596313477
2020-06-12,26.359783172607422
2020-06-15,26.47014617919922
2020-06-16,26.555984497070312
2020-06-17,26.49677848815918
2020-06-18,26.512746810913086
2020-06-19,26.48270606994629
2020-06-22,26.465208053588867
2020-06-23,26.406171798706055
2020-06-24,26.33521842956543
2020-06-25,26.406524658203125
2020-06-26,26.43318748474121
2020-06-29,26.415029525756836
2020-06-30,26.478721618652344
2020-07-01,26.412986755371094
2020-07-02,26.5506591796875
2020-07-03,26.92369842529297
2020-07-06,26.82240867614746
2020-07-07,26.791519165039062
2020-07-08,26.643352508544922
2020-07-09,26.71378517150879
2020-07-10,26.67099380493164
2020-07-13,26.709251403808594
2020-07-14,26.83390235900879
2020-07-15,26.864992141723633
2020-07-16,26.86813735961914
2020-07-17,26.983192443847656
2020-07-20,27.146413803100586
2020-07-21,27.325374603271484
2020-07-22,27.418100357055664
2020-07-23,27.529861450195312
2020-07-24,27.62293243408203
2020-07-27,27.541078567504883
2020-07-28,27.481063842773438
2020-07-29,27.44478988647461
2020-07-30,27.440893173217773
2020-07-31,27.425674438476562
2020-08-03,27.46265983581543
2020-08-04,27.518526077270508
2020-08-05,27.531814575195312
